marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,segmento
xiaomi,2012,12,19,16,não,0,2,434,FULLHD,OLED,não,0,2000,premium
dell,2014,6,8,6,não,0,2,566,FULLHD,TN,não,500,1000,ultraportatil
asus,2022,6,12,12,não,0,3,281,FULLHD,AMOLED,sim,0,500,2em1
xiaomi,2014,8,9,16,não,0,3,473,QUADHD,OLED,não,2000,250,premium
asus,2023,10,10,8,não,0,3,506,QUADHD,OLED,não,0,1000,premium
lenovo,2021,8,8,16,não,0,2,564,4K,AMOLED,não,0,250,premium
xiaomi,2010,8,10,8,não,0,3,529,FULLHD,OLED,não,0,250,premium
apple,2014,6,9,8,não,0,2,499,QUADHD,AMOLED,não,1000,250,premium
razer,2014,4,8,16,não,0,2,596,QUADHD,AMOLED,não,2000,250,premium
huawei,2022,4,6,16,não,0,2,571,FULLHD,OLED,não,0,250,premium
positivo,2016,6,12,6,não,0,2,56,HD,IPS,não,250,0,entrada
huawei,2014,6,10,8,não,0,3,503,4K,OLED,não,0,1000,premium
asus,2019,12,17,16,não,0,3,537,FULLHD,OLED,não,0,250,ultraportatil
razer,2023,8,10,16,sim,6,4,59,FULLHD,AMOLED,não,0,2000,jogos_premium
asus,2023,8,9,16,não,0,2,486,FULLHD,OLED,não,0,1000,premium
acer,2022,8,10,8,não,0,1,457,HD,IPS,não,500,2000,entrada
apple,2015,4,7,16,não,0,3,407,4K,AMOLED,não,0,500,premium
huawei,2013,8,8,8,não,0,3,574,FULLHD,OLED,não,1000,250,premium
samsung,2014,10,14,16,não,0,3,599,FULLHD,IPS,não,1000,2000,ultraportatil
razer,2015,6,6,8,não,0,3,483,4K,AMOLED,não,0,250,premium
acer,2023,10,20,2,não,0,3,372,HD,OLED,não,0,250,intermediario
huawei,2013,6,10,16,não,0,2,567,4K,OLED,não,250,250,premium
lenovo,2016,8,15,8,sim,2,1,53,FULLHD,VA,não,0,2000,jogos_entrada
positivo,2022,10,14,2,não,0,4,272,HD,TN,não,1000,500,entrada
samsung,2015,6,9,32,não,0,1,137,HD,IPS,não,250,0,entrada
samsung,2012,8,15,32,sim,6,1,53,FULLHD,OLED,não,250,1000,jogos_premium
razer,2012,8,8,16,não,0,2,468,QUADHD,OLED,não,0,1000,premium
huawei,2017,4,5,8,não,0,3,416,4K,OLED,não,0,2000,premium
razer,2023,10,19,16,sim,12,4,143,4K,AMOLED,não,0,1000,jogos_premium
positivo,2019,10,19,6,não,0,1,88,HD,IPS,não,0,250,entrada
asus,2018,8,10,16,não,0,3,508,FULLHD,IPS,sim,0,500,premium
acer,2012,4,7,12,sim,4,3,106,FULLHD,OLED,não,500,125,jogos_entrada
dell,2017,4,7,16,sim,6,2,166,4K,OLED,não,0,2000,jogos_intermediarios
razer,2021,10,16,16,sim,6,4,139,QUADHD,OLED,não,0,500,jogos_premium
dell,2015,4,6,16,não,0,2,403,QUADHD,IPS,sim,0,1000,premium
lenovo,2019,10,16,16,sim,6,4,71,4K,AMOLED,não,0,1000,jogos_premium
positivo,2023,4,4,64,não,0,4,236,HD,IPS,não,1000,2000,entrada
