marca,ano,qtd_nucleos,qtd_threads,ram,gpu_dedicada,ram_gpu,entradas_usb,duracao_bateria,resolucao_tela,tipo_tela,tela_touch,armazenamento_hdd,armazenamento_ssd,valor
3,2021,8,15,16,1,4,4,145,3,1,0,0,250,11791
8,2010,4,4,16,0,0,3,441,1,2,0,1000,250,20430
6,2013,12,12,16,0,0,3,526,1,2,0,500,250,25962
2,2023,4,4,12,0,0,1,34,2,1,0,0,500,3156
0,2010,12,16,16,0,0,3,550,1,2,0,1000,250,24619
3,2021,10,17,16,0,0,2,538,3,0,1,0,250,24779
10,2023,8,14,8,0,0,2,412,0,2,0,0,250,20192
2,2015,4,8,6,0,0,1,378,2,3,0,500,0,8144
7,2016,4,7,8,0,0,1,141,2,3,0,1000,0,4552
1,2011,6,12,8,0,0,3,539,0,0,0,2000,250,24987
8,2021,12,24,8,0,0,2,500,1,2,0,0,500,25079
2,2019,12,16,12,0,0,2,81,2,1,0,500,0,5036
10,2018,10,11,8,0,0,3,575,3,2,0,0,250,16480
9,2013,4,6,8,1,4,1,176,1,1,0,1000,2000,9723
7,2020,6,12,12,0,0,1,285,2,1,0,1000,0,7395
5,2010,6,7,8,0,0,3,469,0,2,0,0,250,18193
9,2010,2,4,8,0,0,3,501,1,1,0,2000,250,16043
10,2016,4,4,16,0,0,3,410,0,0,0,0,2000,21042
4,2014,6,12,2,0,0,2,530,1,2,0,0,250,18092
5,2015,4,7,16,0,0,2,434,1,2,0,0,250,18797
5,2017,8,16,16,0,0,2,549,0,0,0,0,1000,26919
5,2017,10,13,8,0,0,3,545,0,0,0,0,250,17295
4,2010,2,2,12,0,0,3,587,1,3,0,500,1000,15605
7,2013,2,4,4,0,0,3,298,2,3,0,250,0,7694
3,2016,4,4,8,0,0,3,436,2,3,0,0,1000,10258
0,2023,12,22,8,1,2,4,176,1,4,0,0,1000,9373
9,2023,8,16,4,0,0,3,218,2,4,0,0,1000,9263
7,2015,6,7,2,0,0,2,101,2,3,0,250,0,4331
7,2017,8,13,4,0,0,3,72,2,3,0,1000,0,3823
6,2018,8,11,2,0,0,3,307,2,1,0,0,2000,9196
2,2013,10,11,8,0,0,2,402,0,2,0,250,250,19093
8,2011,6,11,32,1,6,3,169,3,2,0,2000,125,15807
6,2019,4,6,8,0,0,2,403,1,2,0,0,1000,16962
5,2016,6,6,16,0,0,3,528,1,2,0,0,500,16342
8,2012,6,12,16,0,0,2,447,3,2,0,500,250,17693
1,2022,6,9,16,0,0,2,447,3,0,0,0,1000,24746
1,2011,6,11,8,0,0,2,405,0,2,0,2000,250,14516
9,2010,4,7,4,0,0,3,299,2,1,0,500,0,7628
2,2018,4,4,6,0,0,3,408,1,1,1,0,2000,12208
5,2020,8,12,8,0,0,3,584,1,0,0,0,250,20752
8,2015,8,9,16,1,6,2,55,3,2,0,0,250,22852
9,2012,2,4,12,1,4,2,100,1,1,0,1000,500,7068
0,2015,10,10,2,0,0,2,501,1,3,0,0,2000,15367
0,2010,4,4,4,0,0,2,349,2,4,0,250,0,10938
3,2015,10,12,4,0,0,2,297,2,3,0,0,500,8255
1,2010,6,11,16,0,0,2,400,3,0,0,500,250,21652
3,2016,6,6,8,0,0,3,562,1,1,1,0,250,20585
5,2022,4,4,8,0,0,2,472,1,0,0,0,250,22953
5,2015,4,7,16,0,0,2,595,0,0,0,0,500,25132
9,2019,10,18,16,0,0,2,346,2,3,0,1000,0,8686
5,2019,10,18,8,0,0,3,472,3,0,0,0,1000,20824
1,2010,12,23,8,0,0,3,525,0,0,0,250,250,22585
2,2016,4,7,2,0,0,2,576,1,4,0,0,500,16892
4,2011,2,2,4,0,0,3,578,1,4,0,2000,500,16502
1,2014,4,8,8,0,0,2,461,1,2,0,0,250,17063
4,2020,12,22,16,1,6,4,98,1,3,0,0,250,10294
3,2014,4,4,6,0,0,2,556,1,1,0,500,250,19124
9,2019,6,11,16,1,6,4,137,1,2,0,0,250,16270
5,2021,6,7,8,0,0,3,494,0,0,0,0,2000,17779
2,2018,4,4,32,0,0,2,429,1,1,1,0,2000,13260
1,2018,4,4,8,0,0,3,442,1,2,0,0,250,18922
8,2014,12,23,16,1,6,1,104,0,2,0,500,125,16100
7,2013,6,6,4,0,0,2,66,2,3,0,500,0,3545
1,2022,12,17,8,0,0,2,438,0,2,0,0,500,21221
8,2017,6,7,16,1,6,2,77,0,0,0,0,1000,15813
8,2012,10,11,16,0,0,2,430,1,2,0,0,250,22579
8,2023,8,16,8,0,0,3,473,3,2,0,0,2000,19021
4,2014,8,13,8,1,2,3,99,1,4,0,2000,500,8862
5,2010,4,4,8,0,0,2,556,3,2,0,0,250,24752
2,2015,8,10,12,0,0,2,427,1,0,1,0,250,13311
5,2021,4,8,8,0,0,3,527,3,2,0,0,250,23244
6,2017,4,5,64,0,0,2,355,2,3,0,0,1000,9761
10,2017,8,14,16,0,0,2,572,1,0,0,0,2000,26793
4,2010,4,7,12,0,0,2,504,1,4,0,250,2000,15956
7,2018,4,4,4,0,0,1,214,2,3,0,0,2000,6613
5,2015,4,7,16,0,0,2,415,0,0,0,0,250,19420
4,2015,4,6,16,1,6,2,132,1,3,0,0,250,10779
8,2019,8,14,16,1,6,4,189,1,2,0,0,250,17733
5,2023,4,7,16,0,0,2,411,1,0,0,0,500,19328
0,2023,8,10,4,0,0,4,91,2,1,0,0,250,6238
8,2019,8,14,8,0,0,3,560,3,0,0,0,500,22890
5,2016,10,13,16,0,0,2,422,0,0,0,0,250,19733
9,2022,12,20,16,0,0,2,372,1,1,1,0,250,14516
9,2013,2,4,16,0,0,2,467,1,1,1,2000,250,16436
0,2014,10,13,16,0,0,2,485,1,2,0,500,250,21458
0,2012,8,12,16,1,6,1,143,1,0,0,0,2000,24808
4,2020,4,5,16,1,6,4,78,1,1,0,0,250,9153
7,2016,6,11,6,0,0,1,134,2,1,0,1000,0,5943
1,2010,10,11,16,0,0,2,475,1,2,0,250,250,17289
10,2020,10,18,16,0,0,2,562,3,2,0,0,250,21365
4,2021,6,11,12,1,4,4,141,1,4,0,0,2000,12391
2,2023,4,5,16,0,0,2,567,1,2,0,0,500,22453
